SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1376.05,1405.00,1375.00,1392.05,1392.05,1388.25,259,2259,3140662.00,
500003,AEGIS LOGIS ,A ,Q,200.00,202.40,200.00,200.30,200.20,200.20,92,7312,1463726.00,
500008,AMAR RAJA BA,A ,Q,630.80,634.90,625.80,629.60,627.50,624.50,323,10259,6461880.00,
500009,A.SARABHAI  ,X ,Q,12.69,13.45,12.69,13.08,13.25,13.04,52,6114,80330.00,
500010,HDFC        ,A ,Q,1959.95,1999.90,1940.00,1993.75,1993.75,1939.65,5367,131468,260128975.00,
500012,ANDHRA PETRO,X ,Q,50.90,52.50,49.70,51.80,51.60,50.05,184,42127,2168367.00,
500013,ANSAL INFRAS,B ,Q,8.25,8.50,8.17,8.23,8.22,8.29,48,14759,122343.00,
500014,APPLE FINANC,XT,Q,1.31,1.37,1.31,1.37,1.37,1.31,5,171,230.00,
500016,ARUNAHTEL   ,XT,Q,7.50,7.50,7.13,7.13,7.13,7.50,5,901,6461.00,
500020,BOM DYEING  ,A ,Q,110.00,113.35,109.00,109.80,109.80,110.10,1339,120935,13426170.00,
500024,ASSAMCO     ,T ,Q,1.92,1.92,1.85,1.86,1.92,1.92,25,47327,89058.00,
500027,ATUL LTD.   ,A ,Q,3826.00,3860.00,3740.00,3786.55,3742.00,3804.15,314,1120,4275697.00,
500028,ATV PROJECTS,XT,Q,5.20,5.20,4.75,4.75,4.75,4.99,18,5200,24934.00,
500029,AUTOLITE(I) ,B ,Q,30.60,31.95,30.60,30.75,30.75,30.90,6,125,3841.00,
500031,BAJAJ ELECT.,A ,Q,533.00,535.15,528.10,529.05,529.05,532.80,253,4254,2257550.00,
500032,BAJAJHIND   ,B ,Q,7.75,7.94,7.66,7.74,7.75,7.71,133,94102,731331.00,
500033,FORCE MOTR  ,A ,Q,1441.00,1465.00,1441.00,1452.25,1452.25,1441.75,993,10565,15349372.00,
500034,BAJFINANCE  ,A ,Q,3144.00,3314.95,3125.00,3301.20,3301.20,3111.80,15608,303721,989647456.00,
500038,BALRAM.CHINI,A ,Q,143.20,144.95,142.30,143.10,143.10,142.95,644,58173,8352617.00,
500039,BANCO PROD. ,B ,Q,140.35,140.35,135.25,137.25,137.50,136.90,96,4980,684959.00,
500040,CENTURY TEXT,A ,Q,919.20,919.20,904.50,912.20,912.00,914.20,734,27266,24817692.00,
500041,BANNARI AMAN,B ,Q,1350.00,1386.50,1296.05,1325.15,1336.95,1319.40,23,40,53961.00,
500042,BASF INDIA  ,A ,Q,1237.00,1252.10,1217.90,1241.75,1241.75,1224.15,107,432,531754.00,
500043,BATA INDIA  ,A ,Q,1348.90,1377.95,1333.35,1369.45,1369.45,1341.00,1519,52987,72218013.00,
500048,BEML LTD    ,A ,Q,843.40,850.05,826.55,838.05,833.00,839.70,1300,59862,50131652.00,
500049,BHARAT ELECT,A ,Q,89.80,92.00,88.70,91.70,91.70,89.20,1966,484764,43824403.00,
500052,BHANSALI ENG,B ,Q,80.00,80.00,72.25,74.70,74.70,79.40,856,147996,11372333.00,
500055,TATASTLBSL  ,B ,Q,29.30,29.65,29.10,29.55,29.50,29.50,238,75403,2217230.00,
500058,BIHAR SPONGE,XT,Q,0.79,0.79,0.79,0.79,0.79,0.76,4,1500,1185.00,
500059,BINANI IND. ,T ,Q,25.85,26.75,25.30,26.00,26.00,26.15,20,1107,28719.00,
500060,BIRLACABLE  ,B ,Q,112.70,130.60,112.70,123.00,124.40,110.55,1484,62876,7519757.00,
500067,BLUE STAR   ,A ,Q,725.00,735.25,717.20,722.85,722.85,723.40,661,7558,5506015.00,
500068,DISA INDIA  ,X ,Q,5740.00,5740.00,5601.05,5601.05,5601.05,5739.95,19,53,299508.00,
500074,BPL LTD.    ,B ,Q,21.15,21.25,20.35,20.80,20.80,20.45,213,34497,716667.00,
500078,OAL         ,X ,Q,208.05,218.35,205.05,206.30,206.05,214.00,57,2151,447517.00,
500083,CENTURY EXT ,B ,Q,5.10,5.10,4.92,4.96,5.00,4.91,9,915,4560.00,
500084,CESC LTD.   ,A ,Q,675.45,680.00,648.05,661.30,661.30,675.40,1353,54333,36165044.00,
500085,CHAMBAL FERT,A ,Q,141.85,163.75,141.00,161.25,161.25,143.00,4272,271780,42967818.00,
500086,EXIDE IND.  ,A ,Q,207.00,207.60,204.00,207.00,207.00,205.45,858,593839,121818184.00,
500087,CIPLA LTD.  ,A ,Q,549.15,551.90,540.75,543.95,543.95,550.55,744,44607,24303081.00,
500089,DIC INDIA   ,B ,Q,315.05,320.10,315.05,320.10,320.10,331.90,2,8,2540.00,
500092,CRISIL LTD  ,A ,Q,1370.05,1400.00,1340.95,1389.65,1400.00,1365.90,262,1555,2126915.00,
500093,CGPOWER     ,A ,Q,35.95,36.45,35.00,35.60,36.00,35.65,900,434788,15438595.00,
500096,DABUR (I)   ,A ,Q,363.90,376.90,361.10,370.25,370.25,361.90,2208,117765,43701835.00,
500097,DALMIASUG   ,B ,Q,108.00,113.60,108.00,112.55,112.95,105.30,761,36422,4066887.00,
500101,ARVIND Ltd  ,A ,Q,72.10,75.70,71.30,74.05,74.05,72.15,2404,573773,42451747.00,
500102,BALARPUR IND,B ,Q,1.97,2.04,1.95,2.04,2.04,1.95,99,143021,285961.00,
500103,BHEL        ,A ,Q,62.90,62.90,61.20,62.05,62.05,62.05,2317,2864056,177491247.00,
500104,HIND.PETRO  ,A ,Q,278.60,279.10,271.90,274.95,274.00,280.30,2694,284628,78374043.00,
500106,IFCI LTD    ,A ,Q,9.39,9.39,8.95,8.99,8.99,9.23,695,253375,2286791.00,
500108,MAHA.TELE   ,B ,Q,8.68,8.95,8.45,8.50,8.50,8.69,461,260696,2255592.00,
500109,MRPL        ,A ,Q,63.00,64.55,62.25,62.45,62.70,62.45,316,63195,3978317.00,
500110,CHENNAI PET.,A ,Q,210.00,214.50,205.80,213.40,213.40,210.10,391,18581,3928926.00,
500111,REL.CAP.    ,A ,Q,120.25,121.75,113.60,114.95,114.95,112.50,16905,3293920,383108236.00,
500112,STATE BANK  ,A ,Q,315.05,321.60,313.30,318.95,318.95,315.20,6979,922507,292281854.00,
500113,STEEL AUTH. ,A ,Q,47.80,48.20,47.05,47.65,47.65,47.85,1954,1885652,89371938.00,
500114,TITAN       ,A ,Q,1187.75,1198.60,1181.15,1190.25,1190.25,1183.40,4211,164377,195663493.00,
500116,IDBI BANK L ,A ,Q,34.45,35.00,33.75,34.40,34.40,34.40,910,729476,25039593.00,
500117,DCW LTD.    ,B ,Q,16.65,17.45,16.40,17.25,17.25,16.55,180,37117,635553.00,
500119,DHAMPUR SUGA,B ,Q,203.40,206.90,199.65,200.80,200.80,199.70,721,35752,7230673.00,
500120,DIAMINES&CHM,X ,Q,122.80,123.15,112.60,122.30,122.30,117.30,109,9405,1137114.00,
500123,ELANTAS     ,B ,Q,2239.80,2250.00,2190.00,2208.70,2208.70,2168.50,108,1789,3965075.00,
500124,DR.REDDY'S  ,A ,Q,2790.00,2811.65,2668.80,2748.10,2748.10,2804.50,3376,57206,157568791.00,
500125,E.I.D.PAR   ,A ,Q,181.10,181.10,177.20,178.00,178.00,177.45,173,6294,1123676.00,
500126,MERCK LTD   ,A ,Q,4250.00,4389.00,4236.10,4342.55,4342.55,4209.20,2120,9638,41832977.00,
500128,ELEC.CASTING,B ,Q,18.25,18.40,17.30,17.40,17.40,17.75,96,8008,140030.00,
500132,EMPEE SUGARS,XT,Q,1.26,1.26,1.20,1.20,1.20,1.20,8,1890,2338.00,
500133,ESAB INDIA  ,B ,Q,910.00,926.75,892.25,907.25,903.00,887.95,36,1275,1146868.00,
500135,ESSEL PROP  ,B ,Q,132.00,133.10,132.00,132.25,132.25,132.00,99,9145,1213306.00,
500136,ESTER INDUS.,B ,Q,34.00,34.65,32.15,32.40,32.15,33.95,212,26092,881427.00,
500141,FERRO ALLOYS,X ,Q,4.40,4.89,4.07,4.23,4.23,4.31,66,86790,373773.00,
500144,FINOL. CABLE,A ,Q,439.55,439.55,422.00,427.90,422.00,435.55,426,4032,1748674.00,
500147,CMI FPE     ,X ,Q,1019.00,1019.00,992.05,1005.65,998.05,996.05,22,447,449296.00,
500148,UFLEX LTD   ,A ,Q,226.25,226.25,220.55,221.15,221.15,226.75,155,3332,742297.00,
500151,GOLDEN TOB  ,B ,Q,36.00,38.85,35.55,35.55,35.55,37.00,10,961,34919.00,
500153,GANESH BENZO,X ,Q,43.70,43.90,41.35,42.45,42.45,43.45,142,17957,763329.00,
500155,GARDEN SILK ,B ,Q,15.55,17.00,15.55,16.70,16.20,16.35,32,3852,63012.00,
500159,METROGLOBL  ,X ,Q,54.40,55.00,52.35,52.55,52.55,54.25,4,4,214.00,
500160,GTL LTD.    ,B ,Q,3.98,3.98,3.80,3.93,3.93,3.80,6,1505,5937.00,
500163,GODFREY PH  ,A ,Q,1013.65,1037.90,1003.40,1018.85,1010.25,1016.65,408,12040,12276326.00,
500164,GODREJ IND  ,A ,Q,443.00,453.40,442.35,449.70,449.70,439.40,859,28581,12792236.00,
500165,KANSAI NERO ,A ,Q,409.00,412.90,394.40,410.50,409.00,400.60,351,6107,2462833.00,
