SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
<br>500002,ABB LTD.    ,1376.05,1405.00,1375.00,1392.05
<br>500003,AEGIS LOGIS ,200.00,202.40,200.00,200.30
<br>500008,AMAR RAJA BA,630.80,634.90,625.80,629.60
<br>500009,A.SARABHAI  ,12.69,13.45,12.69,13.08
<br>500010,HDFC        ,1959.95,1999.90,1940.00,1993.75
<br>500012,ANDHRA PETRO,50.90,52.50,49.70,51.80
<br>500013,ANSAL INFRAS,8.25,8.50,8.17,8.23
<br>500014,APPLE FINANC,1.31,1.37,1.31,1.37
<br>500016,ARUNAHTEL   ,7.50,7.50,7.13,7.13
<br>500020,BOM DYEING  ,110.00,113.35,109.00,109.80
<br>500024,ASSAMCO     ,1.92,1.92,1.85,1.86
<br>500027,ATUL LTD.   ,3826.00,3860.00,3740.00,3786.55
<br>500028,ATV PROJECTS,5.20,5.20,4.75,4.75
<br>500029,AUTOLITE(I) ,30.60,31.95,30.60,30.75
<br>500031,BAJAJ ELECT.,533.00,535.15,528.10,529.05
<br>500032,BAJAJHIND   ,7.75,7.94,7.66,7.74
<br>500033,FORCE MOTR  ,1441.00,1465.00,1441.00,1452.25
<br>500034,BAJFINANCE  ,3144.00,3314.95,3125.00,3301.20
<br>500038,BALRAM.CHINI,143.20,144.95,142.30,143.10
<br>500039,BANCO PROD. ,140.35,140.35,135.25,137.25
<br>500040,CENTURY TEXT,919.20,919.20,904.50,912.20
<br>500041,BANNARI AMAN,1350.00,1386.50,1296.05,1325.15
<br>500042,BASF INDIA  ,1237.00,1252.10,1217.90,1241.75
<br>500043,BATA INDIA  ,1348.90,1377.95,1333.35,1369.45
<br>500048,BEML LTD    ,843.40,850.05,826.55,838.05
<br>500049,BHARAT ELECT,89.80,92.00,88.70,91.70
<br>500052,BHANSALI ENG,80.00,80.00,72.25,74.70
<br>500055,TATASTLBSL  ,29.30,29.65,29.10,29.55
<br>500058,BIHAR SPONGE,0.79,0.79,0.79,0.79
<br>500059,BINANI IND. ,25.85,26.75,25.30,26.00
<br>500060,BIRLACABLE  ,112.70,130.60,112.70,123.00
<br>500067,BLUE STAR   ,725.00,735.25,717.20,722.85
<br>500068,DISA INDIA  ,5740.00,5740.00,5601.05,5601.05
<br>500074,BPL LTD.    ,21.15,21.25,20.35,20.80
<br>500078,OAL         ,208.05,218.35,205.05,206.30
<br>500083,CENTURY EXT ,5.10,5.10,4.92,4.96
<br>500084,CESC LTD.   ,675.45,680.00,648.05,661.30
<br>500085,CHAMBAL FERT,141.85,163.75,141.00,161.25
<br>500086,EXIDE IND.  ,207.00,207.60,204.00,207.00
<br>500087,CIPLA LTD.  ,549.15,551.90,540.75,543.95
<br>500089,DIC INDIA   ,315.05,320.10,315.05,320.10
<br>500092,CRISIL LTD  ,1370.05,1400.00,1340.95,1389.65
<br>500093,CGPOWER     ,35.95,36.45,35.00,35.60
<br>500096,DABUR (I)   ,363.90,376.90,361.10,370.25
<br>500097,DALMIASUG   ,108.00,113.60,108.00,112.55
<br>500101,ARVIND Ltd  ,72.10,75.70,71.30,74.05
<br>500102,BALARPUR IND,1.97,2.04,1.95,2.04
<br>500103,BHEL        ,62.90,62.90,61.20,62.05
<br>500104,HIND.PETRO  ,278.60,279.10,271.90,274.95
<br>500106,IFCI LTD    ,9.39,9.39,8.95,8.99
<br>500108,MAHA.TELE   ,8.68,8.95,8.45,8.50
<br>500109,MRPL        ,63.00,64.55,62.25,62.45
<br>500110,CHENNAI PET.,210.00,214.50,205.80,213.40
<br>500111,REL.CAP.    ,120.25,121.75,113.60,114.95
<br>500112,STATE BANK  ,315.05,321.60,313.30,318.95
<br>500113,STEEL AUTH. ,47.80,48.20,47.05,47.65
<br>500114,TITAN       ,1187.75,1198.60,1181.15,1190.25
<br>500116,IDBI BANK L ,34.45,35.00,33.75,34.40
<br>500117,DCW LTD.    ,16.65,17.45,16.40,17.25
<br>500119,DHAMPUR SUGA,203.40,206.90,199.65,200.80
<br>500120,DIAMINES&CHM,122.80,123.15,112.60,122.30
<br>500123,ELANTAS     ,2239.80,2250.00,2190.00,2208.70
<br>500124,DR.REDDY'S  ,2790.00,2811.65,2668.80,2748.10
<br>500125,E.I.D.PAR   ,181.10,181.10,177.20,178.00
<br>500126,MERCK LTD   ,4250.00,4389.00,4236.10,4342.55
<br>500128,ELEC.CASTING,18.25,18.40,17.30,17.40
<br>500132,EMPEE SUGARS,1.26,1.26,1.20,1.20
<br>500133,ESAB INDIA  ,910.00,926.75,892.25,907.25
<br>500135,ESSEL PROP  ,132.00,133.10,132.00,132.25
<br>500136,ESTER INDUS.,34.00,34.65,32.15,32.40
<br>500141,FERRO ALLOYS,4.40,4.89,4.07,4.23
<br>500144,FINOL. CABLE,439.55,439.55,422.00,427.90
<br>500147,CMI FPE     ,1019.00,1019.00,992.05,1005.65
<br>500148,UFLEX LTD   ,226.25,226.25,220.55,221.15
<br>500151,GOLDEN TOB  ,36.00,38.85,35.55,35.55
<br>500153,GANESH BENZO,43.70,43.90,41.35,42.45
<br>500155,GARDEN SILK ,15.55,17.00,15.55,16.70
<br>500159,METROGLOBL  ,54.40,55.00,52.35,52.55
<br>500160,GTL LTD.    ,3.98,3.98,3.80,3.93
<br>500163,GODFREY PH  ,1013.65,1037.90,1003.40,1018.85
<br>500164,GODREJ IND  ,443.00,453.40,442.35,449.70
<br>500165,KANSAI NERO ,409.00,412.90,394.40,410.50
<br>500166,GOODRICKE   ,186.50,191.95,186.50,188.30
<br>500168,GOODYEAR (I),896.20,924.90,896.20,918.45
<br>500170,GTN INDUS   ,10.35,10.35,10.25,10.25
<br>500171,GHCL LTD    ,236.00,239.70,236.00,236.90
<br>500173,GUJ.FLOURO  ,972.00,972.00,946.45,958.70
<br>500179,HCL INFOSYS ,13.70,13.80,13.40,13.60
<br>500180,HDFC BANK   ,2317.90,2369.00,2311.45,2361.65
<br>500182,HEROMOTOCO  ,2525.55,2640.50,2520.85,2623.50
<br>500183,HIMACHAL FUT,20.50,20.50,20.05,20.30
<br>500184,HSCL        ,102.55,105.00,100.25,100.60
<br>500185,HIND.CONSTN.,12.40,12.46,11.70,11.78
<br>500186,HIND.OIL EXP,125.00,126.55,123.00,123.45
<br>500187,HSIL        ,255.75,260.25,255.00,258.65
<br>500188,HINDUS.ZI   ,254.00,255.20,252.00,253.20
<br>500189,HINDUJA VENT,384.00,384.00,381.00,382.00
<br>500191,HMT LTD.    ,16.10,17.55,16.05,17.30
<br>500193,HOTEL LEELA.,8.46,8.74,8.44,8.62
<br>500199,I.G.PETRO   ,250.00,252.00,243.45,247.25
<br>500201,IND.GLYCOLS ,232.30,241.00,232.30,239.30
<br>500207,INDO RAMA   ,35.65,35.85,35.65,35.65
<br>500209,INFOSYS LTD ,733.30,735.70,721.00,723.80
<br>500210,INGERSOLL   ,580.00,581.00,573.75,579.10
<br>500211,INSILCO LTD.,16.75,17.55,16.70,17.35
<br>500213,INTER.TRAVEL,121.50,121.50,117.15,120.55
<br>500214,ION EXCHANGE,371.55,399.95,371.55,395.20
<br>500215,AGRO TECH FO,531.45,546.00,526.25,542.20
